public_key,bitclout_amount,reward_transaction_count,is_genesis_account
BC1YLhw5kndPuPeWEyd2VPeYowZuf9rY9E9QwSjpVkEyLiLVVPiw8P7,385432.9072111,1,true
BC1YLiYxGdXeuPc3QMzgBv26EwfxrpwemdGxGZAZbh5qXgf7DennfhL,379387.2590423,1,true
BC1YLitz3fid4UWR337TPRerkLaFAx55i8XktzU58idKMReciCBDfJ9,329654.0497013,1,true
BC1YLjAkTwNw5AKy1TCHT8qjZjmdEojvtNpB7wgFdguZ78scMu3KeBo,285857.902913,1,true
BC1YLjTYqQV5CfH3ckQZAdwdbkEu1uSWJg1FNBu6CmL3DQZJwLceHXH,267648.349450008,1,true
BC1YLhFidFPHVcNGq674VgQxjJgzsjgZZDCiZdTnyHGFzgc34BCBHFF,220136.6826799,1,true
BC1YLhnXnSKcM4pYxwU3a24bigPJx9LL2gjrmj6mPfv5c771w5B1weS,218128.877254,1,true
BC1YLjYXVtVBz44u83r66B1NsfgYhDiNmnoYYznazvoGMKy4pTXJxHL,197917.0200168,1,true
BC1YLhKJ9c2JgenLguCXsD7gTJSeNdMLGMdnVCBJKzRbPVsU5GShCER,190726.0580986,1,true
BC1YLgSCCq3b6mCmdiviV6nwW2PmnqvoebmAggcKqr5dEDDbzLyVrxs,181484.34002,1,true
BC1YLitoioHvpKXnR3fWcgSk5hMX72driKBrhFwehG5inVBnvp6kF4A,177204.2353938,1,true
BC1YLffz4MC2HZzZdgCahbcBac8Vrsr6mUEDEMrGEkaFr2ux9UqaWbs,175705.8331863,1,true
BC1YLgXV9RYADBhJGxrkpCvHbgVswSXXigtdtWPhfjZiNqgyRg8Ds75,168000,1,true
BC1YLh2eE4VFzJA7evEEwvtk5J2qxWto6LFKUTrDHQV3urJspJ3awhN,166667,1,true
BC1YLhgrsxAejRUyhYmZRexhXq3nNbBgWH45TC56rxErHCjrKEhseYq,166000,1,true
BC1YLh6BgwYi4xA77ben3ia6xDuVfwdxoiH4wkPYsiJ4PXgk5FQtFSb,166000,1,true
BC1YLirfuVnByxfQk5kwNKyk13oa28mDxb42Uiw9My9LrhMgTkumt3n,157644.4637993,1,true
BC1YLhyvDW9naATAm4UaCGMFxFaJXyBWFUsaWf1fUKKqDUYzy3Je1WU,156250,1,true
BC1YLjQCKJ9CSkgUfAZZMdnoy8kzo7r4gj64wyHGcDHm61CaZCQ1AhY,144735.1700914,1,true
BC1YLihdNE4cuzEe1GMiKNVEFxnpKdeqbGY4ht5J78gsyeve5jMc5Ln,126349,1,true
BC1YLhsWBVFCbPSaXQo3QfzcyB8w46ZjqAAadBPDG39ozD1HTkh1Su2,125000,1,true
BC1YLfnQurEcFMCaPsmgtnzjDSzNCSCjYYvVLyvWvmYL6nnfrFHoEkb,114818.6924628,1,true
BC1YLiaKo7QgQwWTw3i9XJiyknpzHjp423m1HWCzYyTTn9FQ6m3SNCg,111272.2533742,1,true
BC1YLg7rpjjRHvisUho2VBiYYVjTTh7tr4dyC8YhR6vxsT8eScgFfX8,106178.1374015,1,true
BC1YLgYUZjn7F2vgQtuvcUEHs58TH3kMLPKYy78paTBSGajprxVznLH,100901.3749691,1,true
BC1YLh6iu3qwn38Vt2CxChkoMMpSj1t9gBgo9rb7xyacVttT2GtSa2m,100000,1,true
BC1YLit5fPAk8TjxzwX59bmkjCH7kMcB78EX1WVzxeSVxUhQt4UeZ7d,100000,1,true
BC1YLiERnecme7UtXan1o3maSo2ETLQM9K8sbPunUskwYgbMwqAkDWo,100000,1,true
BC1YLfvojDtSJ2Ak4yukZpo1xok8x5AbqaAhCooCY4a1htwwbA6neNT,93750.0100149,1,true
BC1YLiktAvKAZGvKPjYEmEw8CWFicsFoaRU3RZhK2FPkHHtFu2nxmER,91667,1,true
BC1YLitnSuYscJ2GyHt9g3SfQKWz5ht1Ee5LUxBNk22Jo8Cde7Wupy7,91625.2528626,1,true
BC1YLgnKq3aJ9SL7zmiMexjRRqvenLeHQoVNRKnbCiNM4QxPgn9QU1q,91625.2528626,1,true
BC1YLi4WxfmuDg7Dxzk1EFrtph11g95R9BZEaUe4BU49vPcn5Znavzp,87500.0100153,1,true
BC1YLid4eKUtbSkW18ougehPrKtYJ8TDG53CnH6R32pAuaYoAmv6ybU,83334,1,true
BC1YLiwpJAWqkmxgtimj3xKvaoif4Fz26gpect4N4pNupQqmgtLPo15,83333.5,1,true
BC1YLhufpa4rdVfEDrjQDkU6i9AVxwrdqqsb4Mi4iQ9gBfLm9NCYiQM,83333.5,1,true
BC1YLhFBcNrseKxhuQM8pV2DGL3DABaqRKsNFHpPHzdz1qUTF638WUp,72194.4763355,1,true
BC1YLhJPLADZPXy676KoNDqMcWwJtM6cmPQNBToDCeLjBSEszJ5Dj58,71545.8939979,1,true
BC1YLheYMsM27NFDakSFc93SWcWfJww5quuKCAQD6FT99LJ3oCCoVC5,67438.63002,1,true
BC1YLh5ktPcHEuDAYpNTMYUQWbAmMLZsLUFZhTYvbxnUSFdpiH37Nru,67058.8493312,1,true
BC1YLgtHhFwtUTmN9eidpohzyKKnqsS7w6odcy1ywXAgRLqhuqTSGxS,62530.6662228,1,true
BC1YLhYbPPuoJMxqCmbFTJumj7t4jHB6aVWyDct26V9eeyk9v96xp2c,62530.6660174,1,true
BC1YLg26dcBA1HjTkDwXPH4oog7bVGbsQKj4G6rmHkZ6o7ApUzW4S8j,62500,1,true
BC1YLhj2D5wTNMGyDsw6VqCZTMBezmWj5wyJ5LYpNZWUUAXHHuTfMZi,62500,1,true
BC1YLiy4PJSw18A1Re2eBJAATrVErWDBGC5jpfszzDBKorb6zGa8gkG,62500,1,true
BC1YLj9JmVhTRbVrRC73yxnVGHNg4xB4y45i6vW2ZCtVV2ReE2JQu5L,57187.5,1,true
BC1YLfhFEngGhnQEQH2mtiyQVZQVf3dpMxiPQykmJ2UsuAKGE18AfCT,54668.5863789,1,true
BC1YLiteqMyLp9GA34Y6FDwTBCYu8U6fi5W74U1CiRKDkLqdyD9EouQ,47710.5537724,1,true
BC1YLgHLhDygs97j5tL6DCAxztfdw5tFpRrt378xYRnZU3zsmN3mVBJ,41667,1,true
BC1YLfzc73tyvGoHrktLWHy9NkD88JAGDmBLG9o6Eh3GgabyGBiDy7A,41667,1,true
BC1YLiZQWbhUM1uArCqDSe93vUj1ZkP9Y92pfrN5451TTJq18XBdbkh,41667,1,true
BC1YLgZHeQRCqCwuBgtSUVLcC8fDpRmCduRKv5h2uheVA9u6QbwFFe6,41667,1,true
BC1YLfz8KP4Gqiec9eqXnsGMLmZofocoVxASsVZzenveE2Mwxe4i7CR,40447.1422175,1,true
BC1YLiPF4hTFuDZCXir62nKMQCXgJzi1e7z1HyJXeBtbJwTCbDER7Bs,40318,1,true
BC1YLhDBoQachfhwqVNR6RXjeTdiyK4LTQkjKZJDtoa2KhCnxBSuCug,39201.1368241,1,true
BC1YLiXzk5zweP6TywCu91qFLbGuzFBMoJBTH39r9dtG6cKQ6dMoDzg,35000.0000013,1,true
BC1YLh4znr8Z5bFgpPkgiR9v4DasyzKzw7fkKF7WL2GL6oo8HBignNH,31909.3791487,1,true
BC1YLgeBCWdzYDXcta61nCqwfuyj3VjD2kkKiF2rfuu6dsBU2zRQRtk,31250,1,true
BC1YLhJmNVM7VHtYz1v4YHNS6vPV5iNG9bBinV8qk4RrM86srrTakrm,31250,1,true
BC1YLi4JMMSgcjmTV715SwzUmNj4uZosiaNWt1UyJ8fYyUfktUVWaar,31250,1,true
BC1YLgqV3eAnp53JdonA8jV9xjDgtJXGASbXvDVxDmveUdnBW5AkmDV,31250,1,true
BC1YLfmFnjX9D4Hy4a3uETXHm5LH3VCpda32GRPf7cfHpycVYrBcJzs,30788.8511472,1,true
BC1YLfgco8qmMEzdgqZV97ZMsdcETHUVTMShtHaUkwLfcoUG6ThbNLy,30000,1,true
BC1YLgGUvSCBToN9gbThF3cETR4B2dhcaFBTyUy64NCmY4Y483WfHUX,30000,1,true
BC1YLiurPgSErjsC8YSqZZL3pQY5UXkzSbzvMVifbdCpac2v6i8adYP,28101.4848514,1,true
BC1YLh6hhf2koahaMb5nydvB5EHzEAP6MZPSsQM8Ka4Ko4gjbeXjQjB,25592.5244409,1,true
BC1YLfrvJwwAjDcL3Tq2spWbvXCJFadiDdJMyvCaeHgG7snSsYNRKXk,24747.3501084,1,true
BC1YLjWZutGgru7KNgdz2TBaRLEJZzWdHTA3kRpgW68DjjeEq6JS1j2,23161.6089064,1,true
BC1YLhqEhWvNnwW9TBqXURFqwkdpUYKrMVgTHQzopF5rRBDcD1LLSUp,20893.2147698,1,true
BC1YLhr7wX4jJeZYdxXabDN6UjMRxG6otFFqMuEwCFnXXEZJgBtHXCY,20833.0200134,1,true
BC1YLgUU57aMVyfmrprFZicifoaH5QD8WdBWxtw5PWusD4Spe3CjwoS,20000,1,true
BC1YLgTH8hTRDZGMnGzkCDjFervwmsbTpUoChN5ePb9oWMgFaX1uu21,19821.3310379,1,true
BC1YLj7bjLHWi1oRdzVMFJD8m92Sm6Bj4tbH7BTCSzJsVGkNrGKLzgN,19319.654163,1,true
BC1YLfoUcMpzwm5rKQUWTH4TukSgooozoM3QK3xKdroyxxKt81H6LAR,16909.6671446,1,true
BC1YLgSBWbN3PxHrDTRvjMtYdA1mTEXZ8x35fZozWaVo8yBEipFm8WJ,16702.06002,1,true
BC1YLhfqALhS5UU2mRhsHyToHMEuH2iQDV3vGa1vHbfmHhvqVLNomVt,16667,1,true
BC1YLgRwztiBxupHgz2XiRYFBjDqh2k55qhc5YoACCyQV8UqoQzVvm9,16667,1,true
BC1YLiEbKxZAi1rMLL8W4FYfr757XjRThamV7dQNHZWPmamESPigq6m,16667,1,true
BC1YLhfV2NEk2oPk57Z5dv2LwC7scM5Ncsqgw1hnh2e612YpwYB96Dy,16667,1,true
BC1YLgCaNEnmZyQfKXEc5Tqd8ZU83rvNuXjzQKgtBAcLKAWfLtbotpB,16667,1,true
