source,target,message_exchanged_count,has_replied
BC1YLgcnfH4uKZ4GwMZZXFHPudoBiRqo7dt6QNCFXDiU31dtPEFxomE,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,2,true
BC1YLhh7xcHvGhi5EgE3CmsHxsRXmX56CL1TUowDH4QdoGoAeYcKHcN,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1,true
BC1YLgDQV4EMVfcuJ1WSM2AyMtzaCfjSSFESxij7wzyXFBoYqCt5CPi,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1,true
BC1YLixfgNsSKyRBnRqqzVCTZ13KbnBpKL8SXChk8WGAhU6aeV2tBs1,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,2,true
BC1YLif3iqjxDTBTTZeBo7pavTBQnKegBLERwUeiFRrpVBbDdhWq8Dy,BC1YLi6LpXTemAG8T9ptyWAkMywrjynwZcKjB5DkDXxrsG5kgAwAqxq,1,true
BC1YLi4WxfmuDg7Dxzk1EFrtph11g95R9BZEaUe4BU49vPcn5Znavzp,BC1YLgMseBDu4bFRg5fjK6KYJcnY5V2MD4LwyvuesH1HhVbTvSzCoiV,1,true
BC1YLif3g8cXuRHoYNAfq6i3oJnyGMpfHMKoU5Jo5iihkpXVKCefNp6,BC1YLhJLfjpdJo6oFh1E1o1iZuErHoGyNrWeANk7SVJGS845b9nW1zu,2,true
BC1YLhDcqisMb8L2sCPfQWKvFsrRL2zqVGhVaU8tJfCvebyWudkJkw8,BC1YLiTCJnH141Qq9BRcQ8DFTdHjL59XoyZ8zF1t7jp1oBr6FotKeCP,3,false
BC1YLgbUx1Ho6WHddAfKBDWHD9xh333uRnPnPDEyij75HbjbVrcsbym,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1,true
BC1YLjXJprEpJGcrJBVEWUUBeiUw8qf89GTbM7SQoPYTUSy2Kv3GXHX,BC1YLftX4N1Zb5GMaS4sXf89QDWZdJu5ZKj2pZTeQw8nNoZG9rjW3jf,9,false
BC1YLjAx9XVutNgUB4koKW3Jhu8BF8D3AdJ5sJApaGKMJrV34AfJczM,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,3,true
BC1YLi7NtJ1V7rXWXVzt6AbxybsyeKta3AHBMZMocz38Wf2E862DuUc,BC1YLge6h2UwWsA4Rs3yTzxHxhsQMVx8LqGFL36xUs9PcTuVt5R4PGn,2,true
BC1YLgyDTXCs7L6YHD9Cmw9BhF3WpqJXmt8q7PumFm8ZyBGzz1Me3gB,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1,true
BC1YLiuGxhrZ2G5YQ2x4AZQL7ocgooSmKdhayf1gUMc3UWqr5dH46Jv,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1,true
BC1YLgfG1ZKoHLm7gEZ2TZZVUa3ENyX7y1v1H6rJS8nrByPiYHH75Yi,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1,true
BC1YLir2k2a9tVC1xposrJdi3WEYZvHJwBHmiDrAadSnsmCrEb1fKe3,BC1YLfiFdSZLUynWwA3u2HJFKRhPJ1mG5B26s9fMS4qixxMNbbQXnpU,1,true
BC1YLi2KjRjTPPgWZiQgjqCxzM3WkZ8146Q9XBB5g4K7QSH4gQ9X6uD,BC1YLjMXb68nV14kbZ55totaTJBKYXt6c9kE1BqHogRN9wjP4U6aHuu,9,false
BC1YLigv54qgggu5yZ4zEHPSqpa7m4fQeyHR4UGxSiM4jirJ1KwpZsm,BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1,true
