id,connections_count,has_transferred_btc,label
BC1YLhKRdv9KfM2A8GsnxehKJLEXpeKQXn1oeWzURq5zetL246C6P9N,1795,false,?
BC1YLgU67opDhT9bTPsqvue9QmyJLDHRZrSj77cF3P4yYDndmad9Wmx,64,true,diamondhands
BC1YLi6LpXTemAG8T9ptyWAkMywrjynwZcKjB5DkDXxrsG5kgAwAqxq,60,false,maebeam
BC1YLjMXb68nV14kbZ55totaTJBKYXt6c9kE1BqHogRN9wjP4U6aHuu,53,true,bitcloutlist
BC1YLhpm1aWXmzk89UsbNtipNVe7vPCbzjquqwvVexM7c3x94jQSkSR,52,true,0xrodney
BC1YLgHWmnUjxU64zc7DGAnDHnrKtP6LqoFsiL4Yaw7Za46SMfN8TtH,52,true,phin
BC1YLgTYt5Q62vpqBFshxHsHpApFi5WCmTBH4MbcW3DjHTiT2Qw54Ks,50,false,famous_dyl
BC1YLhtdHdGYshmSYeAnBMU1sRrgFHm44XtK1Lcpf9LMHUMfaPKu6B5,38,true,HuntSauce
BC1YLgsBJofXyzxyrAUxHG8pjVtTP9ktCBQ94FSapMGxWoJQiWbfV3X,36,true,m3rt1x
BC1YLgMseBDu4bFRg5fjK6KYJcnY5V2MD4LwyvuesH1HhVbTvSzCoiV,34,true,sampepper_
BC1YLhrtptZUpJDgXJrdQdojctfTE2GdATqjW2259p7oFN45YFbH3Zp,34,true,jakeudell
BC1YLjBzRT1aKZWshhXCruABgKcHNH1d8RRQt1tEwXKzPKcop8mhm6B,32,true,sigil
BC1YLhnmC7wfjG5ic9dThqDs7qRKaDF4xCV1gVHuuqdffMxsjDpPdVg,31,true,Memes
BC1YLiRgvtCW3vwhy8jYahJoi5XmbrxSHrZHVPLBJm3cxWDKQ9vvwE8,21,true,RajLahoti
BC1YLhtAPCwD2wUawVc5n5miWuGo8159qrs5G9VE6FVc2ZPFryc2Vq4,19,true,ArtofWar
BC1YLiKExSZCumcmDvnpnHGkSGKRhfSuQqh2mBzNNQ9hxosCK8nAMWH,19,true,the_moon
BC1YLh9wbNWTs8QBhMTW5YPMuSmbUhGjhBVVXx5RQnutasjsgnEX75Y,19,true,BitCloutBuffett
